probeid,GB_ACC
AFFX-BioB-3_at,
AFFX-BioB-5_at,
AFFX-BioB-M_at,
AFFX-BioC-3_at,
AFFX-BioC-5_at,
AFFX-BioDn-3_at,
AFFX-BioDn-5_at,
AFFX-CreX-3_at,
AFFX-CreX-5_at,
AFFX-DapX-3_at,
AFFX-DapX-5_at,
AFFX-DapX-M_at,
AFFX-LysX-3_at,
AFFX-LysX-5_at,
AFFX-LysX-M_at,
AFFX-PheX-3_at,
AFFX-PheX-5_at,
AFFX-PheX-M_at,
AFFX-r2-Bs-dap-3_at,
AFFX-r2-Bs-dap-5_at,
AFFX-r2-Bs-dap-M_at,
AFFX-r2-Bs-lys-3_at,
AFFX-r2-Bs-lys-5_at,
AFFX-r2-Bs-lys-M_at,
AFFX-r2-Bs-phe-3_at,
AFFX-r2-Bs-phe-5_at,
AFFX-r2-Bs-phe-M_at,
AFFX-r2-Bs-thr-3_s_at,
AFFX-r2-Bs-thr-5_s_at,
AFFX-r2-Bs-thr-M_s_at,
AFFX-r2-Ec-bioB-3_at,
AFFX-r2-Ec-bioB-5_at,
AFFX-r2-Ec-bioB-M_at,
AFFX-r2-Ec-bioC-3_at,
AFFX-r2-Ec-bioC-5_at,
AFFX-r2-Ec-bioD-3_at,
AFFX-r2-Ec-bioD-5_at,
AFFX-r2-P1-cre-3_at,
AFFX-r2-P1-cre-5_at,
AFFX-r2-TagA_at,
AFFX-r2-TagB_at,
AFFX-r2-TagC_at,
AFFX-r2-TagD_at,
AFFX-r2-TagE_at,
AFFX-r2-TagF_at,
AFFX-r2-TagG_at,
AFFX-r2-TagH_at,
AFFX-r2-TagIN-3_at,
AFFX-r2-TagIN-5_at,
AFFX-r2-TagIN-M_at,
AFFX-r2-TagJ-3_at,
AFFX-r2-TagJ-5_at,
AFFX-r2-TagO-3_at,
AFFX-r2-TagO-5_at,
AFFX-r2-TagQ-3_at,
AFFX-r2-TagQ-5_at,
AFFX-Ta-actin-3_at,BJ252107
AFFX-Ta-actin-5_at,BJ252107
AFFX-Ta-actin-M_at,BJ252107
AFFX-Ta-actin-M_x_at,BJ252107
AFFX-Ta-ef1a-3_at,CA616709
AFFX-Ta-ef1a-5_at,CA616709
AFFX-Ta-ef1a-M_s_at,CA616709
AFFX-Ta-gapdh-3_at,CA486280
AFFX-Ta-gapdh-5_at,CA486280
AFFX-Ta-gapdh-5_x_at,CA486280
AFFX-Ta-gapdh-M_at,CA486280
AFFX-Ta-gapdh-M_x_at,CA486280
AFFX-Tae-r2-Bs-dap-3_at,
AFFX-Tae-r2-Bs-dap-5_at,
AFFX-Tae-r2-Bs-dap-M_at,
